@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute airplaneornot {yes,no}

@data
-28.33265,-12.54375,0.007808,4.124154,-3.693782,-0.611206,7.48215,4.17644,-5.038612,-7.554522,-9.966392,-14.39084,26.16436,0.549411,1.273093,-0.442288,-2.89477,0.217127,-0.562473,-3.938393,-2.859154,-3.28695,-0.729769,2.18928,1.658159,-0.007062,-0.339618,-0.354195,0.662606,1.131236,0.646811,0.394051,0.144601,-0.4841,-0.100761,0.610924,-0.837443,-0.090235,-0.001153,yes
-28.74635,-11.51887,-7.499135,-8.725078,0.153867,2.47939,-1.399011,-5.981381,-18.44311,-18.98835,-2.914557,-5.661414,26.16181,0.280496,1.051768,1.018274,-1.035786,1.948855,0.787759,-5.664163,-4.985138,-5.100617,-0.722283,-0.315411,2.85704,-0.013079,-0.564771,-0.80621,0.725393,1.733662,0.4478,0.779188,1.40195,0.412645,0.692704,1.497876,-0.387712,0.037334,0.001237,yes
-25.37874,-6.690722,1.549837,-3.925082,-4.53197,-4.968871,-7.769236,-5.040417,-14.77111,-5.486453,-2.545907,-10.46475,26.13033,-1.014219,-0.38722,2.140462,1.831917,2.585318,0.732664,-2.352504,-4.21666,-2.883922,2.32111,-0.74559,0.607543,-0.009817,-0.438157,-0.990953,-0.258412,1.141974,-0.0394,0.620839,2.525865,1.781813,0.850942,1.138378,0.089297,0.014033,0.005029,yes
-28.40712,-10.21142,4.328163,2.96984,6.469586,5.506422,-13.21297,-16.14082,-25.67545,-12.19997,-15.25369,-2.068679,26.11598,-1.492631,-1.927802,1.893302,3.410197,1.272029,2.685898,2.278413,-0.117174,-0.024946,5.234174,1.718154,2.370139,0.000503,-0.075678,-0.513735,-1.036307,-0.292702,-0.913401,-0.046283,2.920254,3.139746,1.529154,0.116899,0.814038,-0.040435,0.007068,yes
-33.57335,-15.13357,4.796468,7.43628,6.07495,1.538595,1.626609,-11.82714,-15.84205,0.656841,-7.524776,-13.14949,26.1382,-0.754811,-2.191885,-2.171864,0.59211,0.35854,1.59265,4.719643,3.615928,-1.570074,1.983891,1.618982,1.971774,0.011295,0.236892,0.382683,-1.030393,-1.826902,-1.400938,-0.05744,1.227485,1.828932,1.225391,-1.351563,0.037076,0.038432,0.003483,yes
-32.1122,-16.93645,0.344059,2.64523,1.210553,12.65515,5.295131,-3.173889,-18.03237,4.110876,8.165649,7.53165,26.16039,-0.227596,-0.614577,-2.0071,-1.879392,-1.504762,0.126349,5.401036,6.797297,1.888229,0.030823,2.572492,1.972748,0.011707,0.132751,0.777507,-0.216498,-1.7558,-0.915372,-0.66277,-0.655981,-0.504637,0.410497,-2.039743,-1.506136,-1.217836,-0.002498,yes
-27.30026,-14.28763,-7.317432,-0.802229,-0.109754,-0.579985,6.574927,6.555758,-26.44302,-3.722423,-6.160665,-5.406044,26.1646,-0.462277,0.869582,-1.061301,-4.657798,-3.030977,1.725237,2.223609,1.470765,2.286444,-1.83503,-0.987381,0.998401,0.001995,-0.180421,0.503473,0.625099,-0.4438,-0.522032,-0.423639,-1.26432,-1.785623,-0.075763,-0.845351,-0.896727,-0.793245,-0.006255,yes
-32.68165,-13.70728,0.349613,-2.307867,2.038127,7.197456,11.31805,8.654213,-10.93382,-9.856227,-3.073283,3.923337,26.16132,-0.975141,0.429,0.255532,-2.743847,-1.610071,-0.694245,0.246523,-1.567775,0.099279,-3.055079,-4.509345,-3.232353,-0.007339,-0.128932,0.050544,0.396362,0.860613,0.252589,-0.778629,-1.304623,-1.586226,-0.84401,0.091045,-0.231348,-0.216388,-0.005383,yes
-35.60001,-12.40025,-0.512813,-13.37616,-9.493723,12.89363,9.733197,-10.38737,-7.959106,-1.534759,-6.842216,-6.353328,26.14771,-1.283144,-0.19631,-0.177686,-1.194666,-2.198968,-0.115249,0.975301,-1.129653,-1.054416,-0.699915,0.676266,0.608098,-0.010456,0.181151,-0.130186,0.38976,1.558982,1.004657,-1.102473,-0.732409,0.447522,0.061906,0.693489,1.453638,0.48648,-0.00147,yes
-32.83803,-15.73514,-1.780593,-4.787038,-2.147816,2.447115,4.948611,-2.541203,-26.77793,-12.25835,-14.0403,-8.156474,26.13214,-0.461822,0.17109,-0.467099,0.692105,-0.65782,-2.846551,-0.497925,0.166374,-0.661392,-0.081512,0.583928,1.085958,-0.008983,0.500859,0.199815,0.395295,1.021934,0.818357,-0.319926,-0.390709,1.31002,1.81961,0.706226,1.618314,1.061134,0.002341,yes
