@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute airplaneornot {yes,no}

@data
-30.14318,-19.28089,-25.38311,-16.52328,8.405948,26.97683,-0.732914,-13.68976,4.63705,-0.477962,2.307456,7.684983,26.97883,-0.499103,-0.677885,-0.505776,-0.637302,-0.73345,-2.82463,-2.669077,-1.410924,-1.344057,-0.195142,5.11851,0.710899,-0.003306,0.221592,0.116479,0.138998,0.095823,-0.545195,-0.497376,-0.261519,-0.737305,-0.836475,-0.522551,-0.879518,-0.02721,0.003,yes
-32.31575,-20.6567,-27.31911,-18.48716,10.83621,25.32337,-4.241295,-13.59874,5.004902,0.27357,17.23857,9.477087,26.95643,-0.601056,-0.765449,-0.640344,-0.898711,-2.096242,-4.72507,-4.242891,-3.003671,-2.654584,-0.396507,5.963288,1.25045,0.0016,0.574115,0.329979,0.419658,0.234336,-0.727798,-0.022258,0.52664,-0.389712,-0.900986,-0.774686,-2.331444,-0.479245,0.005428,yes
-31.55241,-21.98241,-26.94399,-18.72785,3.523567,13.68041,-12.32411,-20.78989,-2.26716,-1.82944,20.43445,10.34343,26.97351,0.659835,-0.051708,0.256498,-0.027484,-2.778028,-4.361291,-3.189763,-4.301077,-4.871166,-2.707214,0.298532,0.305073,0.009243,0.555692,0.366837,0.445778,0.405664,-0.045101,0.740906,1.377493,0.675452,-0.255978,-0.281357,-2.63459,-0.869456,0.005302,yes
-32.44384,-21.75737,-27.80439,-19.91455,0.365925,9.99969,-16.15177,-25.15805,-5.183767,-1.784758,23.0604,12.60801,26.9895,1.792001,0.658923,1.211377,0.229469,-3.350149,-2.167591,0.224468,-1.914408,-4.085432,-2.812537,-4.12872,-1.482414,0.017559,0.320317,0.157501,0.239645,0.51757,0.79095,1.041176,1.681242,2.088786,0.73023,0.576336,-1.874101,-0.741241,0.003212,yes
-26.77996,-18.98909,-23.85798,-15.947,-0.249049,12.83221,-10.72649,-29.41549,-14.62445,-12.98487,0.889202,7.644886,27.00852,1.082829,0.444115,0.797253,0.826929,-0.332004,-0.398841,1.984709,1.421703,-1.908525,-0.393914,-3.008437,-2.269948,0.015223,-0.322435,-0.039285,-0.011872,0.385544,1.244913,0.417852,0.66513,2.053134,1.224179,1.983084,0.390214,-0.099384,0.000184,yes
-25.74197,-18.85874,-22.80523,-18.73023,-4.028222,14.90951,-3.917768,-18.85798,-9.243612,-8.211401,6.367592,3.41429,27.02672,0.78903,-0.225857,0.287503,1.261934,0.635497,-1.500416,1.576082,4.578866,-0.484753,1.328522,-1.753733,-1.168247,0.014668,-0.691723,-0.390148,-0.178345,0.557417,1.388647,-0.186976,-0.642892,0.562986,0.689787,1.441328,0.710416,-0.04818,-0.002538,yes
-29.4892,-21.21115,-25.45731,-15.18536,4.060622,9.231292,-8.517566,-16.83141,-9.779865,-0.58569,13.73867,3.590546,27.03102,-0.450855,0.194256,0.659075,1.384004,1.453713,-2.60562,-0.539918,2.717958,-0.550613,5.137679,1.06211,-0.348932,0.011608,-0.349482,-0.160538,0.18803,0.498475,0.713822,-0.096101,-0.693785,-0.573558,0.591939,0.329498,0.295416,-0.028276,-0.00421,yes
-27.14407,-21.77563,-25.56721,-13.9857,1.388575,4.298071,-9.375823,-8.555759,-10.02982,-1.341737,7.866999,8.793946,27.05159,-0.89977,-1.166889,0.388739,2.738018,2.700228,-1.999082,-1.727679,0.252394,-1.315451,1.628307,-2.611912,-2.68382,0.006675,-0.123735,0.188361,0.396666,0.00925,0.366343,0.98312,0.213518,-1.093095,0.623124,-0.810891,0.787547,0.135201,-0.006738,yes
-28.33318,-16.55937,-19.18162,-11.39925,4.31112,5.10983,-10.69705,-20.97681,-16.98441,9.268695,5.450047,3.2104,27.05412,0.179822,0.111941,1.686784,2.581261,2.204739,-0.630011,0.167666,0.71715,1.46652,1.103683,-1.102267,-1.653543,-0.001829,0.18618,0.264416,0.100256,-0.656871,-0.368471,1.428733,0.665672,-0.731317,0.952947,-1.040612,1.398651,0.898735,-0.008617,yes
-30.81883,-27.01908,-23.99938,-6.933197,9.347672,6.974836,-11.46642,-15.52331,-12.2186,-4.997057,-2.547659,-9.814739,27.04854,-0.144981,0.757107,1.756979,0.709554,2.091697,2.42738,2.289879,0.113797,1.622302,-0.708933,3.266193,0.160065,-0.012302,0.093159,0.508324,-0.168159,-1.317604,-0.995886,0.966488,0.103748,-0.583677,0.786298,0.431605,2.196762,1.665708,-0.008042,yes
