@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute bellornot {yes,no}

@data
-37.56307,-16.95676,-13.4342,-10.85556,-7.100846,-3.2309,-8.16171,5.370587,6.509458,-13.00316,-15.53115,-11.19412,26.37643,-0.487971,0.234087,0.71574,0.906294,1.984231,2.438651,3.141362,-0.517401,-1.371464,1.452462,-2.197312,2.246399,-0.048694,0.150841,0.083908,0.192774,-0.360761,-0.361215,-0.178576,-0.134307,0.264008,0.216005,0.218782,1.301451,0.271644,0.002352,yes
-39.64879,-19.03429,-14.13821,-4.773741,1.495608,5.113357,1.02161,8.40812,9.712954,-4.853308,-20.40859,-10.64986,26.22411,-0.253588,0.532977,0.916678,-0.223741,1.55428,2.681412,3.90129,0.37792,-0.968931,1.483717,-0.147833,3.068593,-0.049388,0.318706,0.099213,0.310729,-0.479874,-0.903421,-0.828476,-0.755868,0.064053,0.280857,-0.136273,2.046782,0.170004,0.008849,yes
-38.96007,-14.74756,-9.503495,-9.365004,-1.47792,4.790227,2.953439,1.264817,-1.949612,-9.815777,-24.07899,-0.234252,26.20912,0.149041,0.504183,1.579142,-0.332491,0.393132,1.424392,2.08986,0.354979,-0.492709,2.530746,3.285204,3.193525,-0.036589,0.20516,-0.062498,0.214262,-0.267533,-1.14962,-1.24552,-1.068059,-0.118368,0.693507,-0.263646,1.972432,-0.577357,0.012051,yes
-38.13251,-15.39647,-10.81616,-12.71955,-2.140912,6.165595,5.787168,9.313074,5.894338,-7.178268,-11.99639,-1.33109,26.21315,0.787052,0.595103,1.837686,-0.873684,-1.737326,-1.1966,-0.11223,-0.633324,-0.406556,0.231953,5.295337,2.622858,-0.010504,0.031122,0.024507,0.249408,0.343612,-1.2306,-1.325331,-1.393421,-0.918034,0.592667,-0.418959,0.597491,-1.029545,0.011405,yes
-37.576,-16.25475,-7.199515,-8.545116,-3.316925,3.364942,-0.095185,6.693004,5.955223,0.813049,-3.311227,0.114117,26.19897,0.017508,-0.109468,1.326547,-0.106398,-2.118065,-1.849945,-0.192175,-0.60362,1.814883,0.760113,4.943265,-0.417517,-0.00788,-0.15204,0.129767,-0.074977,0.409558,-0.843538,-0.281848,-0.884084,-1.213009,0.20472,-0.451148,-0.982073,-0.984158,0.007415,yes
-36.40556,-15.30517,-6.10177,-9.552106,-6.271519,-0.157,1.984774,2.527405,3.727756,-9.007954,-4.315791,2.29024,26.17667,-0.032209,0.962338,2.290015,1.381271,-3.343121,-2.308074,-1.924797,-3.732948,0.84061,0.274237,2.01059,-0.273612,-0.006719,-0.324088,0.003215,-0.439742,0.573683,0.11093,1.465268,-0.5788,-1.067183,-0.329802,0.553016,-1.213611,-0.377059,0.003267,yes
-39.736,-15.34055,-5.227956,-11.48071,-10.00294,-1.2982,3.89376,1.639551,8.208092,-5.10037,-3.202961,-4.132504,26.18796,-0.201529,0.969401,0.97809,0.587822,-3.02166,0.570891,-1.424276,-4.160257,-0.092692,0.253864,0.017211,-0.279031,-0.001407,-0.126666,-0.088801,-0.592963,0.498767,0.756141,2.017144,-0.524848,-0.765904,-1.270919,0.16618,-1.081023,0.516694,0.002732,yes
-37.21356,-11.04188,-0.351861,-4.345393,-15.51351,-3.043206,-5.831289,-6.82494,8.970954,-2.850372,-1.997576,-0.575841,26.18506,-0.723867,0.071744,-0.186797,1.647622,-0.730881,4.919321,-2.390178,-4.190924,-1.101778,3.250159,1.690306,0.668318,0.002595,-0.130045,-0.477313,-0.762098,-0.096881,1.077669,1.36085,0.318616,0.661267,-1.0944,-0.190783,-0.101604,0.663804,0.002763,yes
-38.17965,-13.53939,-5.184021,-8.209363,-13.80423,7.6625,-3.308534,-9.432109,2.870166,-0.996424,-4.38428,0.152001,26.18774,-0.269992,-0.108175,-0.399861,2.254259,0.356521,4.622077,-2.583725,-4.204152,-3.568519,0.103051,-0.301708,1.694985,0.001124,0.025152,-0.293858,-0.134829,-0.176076,0.619792,-0.719216,0.840012,1.858252,-0.15409,-0.895965,-0.11717,0.595442,0.002358,yes
-40.80307,-15.84703,-7.057721,-2.949671,-8.025281,19.95925,-6.364969,-12.89138,0.887828,5.190866,4.726402,3.489579,26.18975,-0.648204,-0.885439,-0.831499,0.063648,0.356134,2.470581,0.248006,-0.404666,-2.893478,-0.604269,1.662028,2.058401,0.005833,0.192202,0.13892,0.409137,-0.617999,-0.121085,-2.378022,1.058524,2.169093,0.350118,-1.862767,-1.143611,0.085185,0.002657,yes
-39.29121,-13.47885,-3.874329,-0.907276,-11.96445,10.31095,-8.758024,-16.34799,-5.592939,-8.605735,-8.073488,2.30971,26.19123,-0.113603,-0.021298,0.626294,0.499428,-0.466209,-1.800818,1.456693,3.237872,0.032707,-2.298747,-0.554501,2.003138,0.008764,0.288789,0.328513,0.414808,-0.667822,-0.299531,-1.682416,0.348984,1.568955,1.122973,-0.651178,-0.731071,-0.288416,0.003743,yes
-39.8988,-15.49935,-5.164201,-7.678195,-14.65273,7.985473,-1.866514,-5.390331,-1.264885,-2.067063,8.157168,8.63731,26.21248,0.158946,0.722908,1.345811,-0.564956,-0.924943,-3.759343,0.882233,2.933528,-1.151802,-4.862775,-3.90135,0.940165,0.01206,0.424115,0.362306,0.211217,-0.096861,-0.070663,-0.220894,-0.87682,0.026353,1.119467,0.328659,-0.978753,-0.74178,0.003126,yes
-39.1998,-13.81973,-2.999311,-3.347962,-12.82155,4.645302,1.725705,3.006722,4.110057,-8.861192,-8.872167,7.593827,26.2202,0.770379,0.730215,0.585526,-0.77055,-0.500598,-0.67504,-1.155917,1.971524,1.175507,-1.023585,-1.175373,0.812024,0.016724,0.229842,-0.100397,-0.438103,-0.298405,0.121098,0.686466,-1.256565,-0.974837,0.784305,1.432889,-0.235001,-0.877366,0.002657,yes
