@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute fingersnapornot {yes,no}

@data
-32.46544,-10.59158,21.31689,4.409474,-11.46235,4.848225,29.22288,-4.213044,-9.401225,5.481881,-2.539876,-7.467176,24.45298,-1.420344,-1.110909,0.136598,2.351815,1.145416,-2.284273,1.750967,2.806472,4.717984,3.13048,0.488141,3.382113,-0.47092,-0.734253,-0.617659,-0.798174,0.786382,0.506597,0.570225,-0.387094,-0.634044,0.129226,-0.659596,0.84196,0.678627,-0.083042,yes
-33.89051,-15.7302,24.13956,6.932249,-8.632105,11.76585,35.60602,-4.329191,-13.36059,14.13876,-11.13891,-2.908405,24.49338,-3.174512,-2.636974,-1.713532,4.320244,2.83631,-2.142272,-0.075474,1.163843,6.492972,3.511648,3.847775,6.947938,-0.725832,-0.693257,-0.566052,-0.851878,0.303234,0.605762,1.014166,-0.269762,-0.691973,0.255508,-0.687324,0.384747,-0.373045,-0.052762,yes
-38.85462,-13.57681,20.58854,14.90716,-7.150392,-10.03195,34.78615,9.87739,16.16838,16.80584,4.200346,7.164002,22.07817,-4.214526,-3.436169,-2.929204,5.29951,2.832952,0.495854,0.728719,0.457569,4.476621,-0.358085,3.018127,4.992336,-0.758676,0.053369,-0.158788,-0.386986,-1.160414,0.092251,1.483581,-0.130848,-0.546275,-0.833013,-0.25378,-0.266493,-1.696064,0.058104,yes
-45.14341,-22.28383,13.1134,20.76185,0.563223,1.576955,26.06388,-5.439045,10.27883,17.37814,13.32889,19.95692,22.01122,-3.489537,-2.778538,-2.589891,2.394136,3.330458,1.396495,0.913283,0.521057,6.116203,1.438144,1.146886,0.711778,-0.590853,1.055139,0.592,0.41245,-2.396793,-0.945631,0.406937,-0.273904,0.706938,-1.036756,0.523733,-0.264677,-2.095645,0.119433,yes
-47.91162,-24.49561,12.18395,23.99222,-1.895256,12.42194,37.63755,-1.370275,1.162167,2.071767,0.316862,6.061838,21.90068,-0.995985,-1.834066,-1.36015,-2.4872,1.359596,3.364251,0.602349,0.396491,0.741302,2.898331,0.506123,-1.980128,-0.247888,1.219606,0.632013,0.571236,-2.360533,-1.359324,-1.003435,-0.968767,0.721973,-0.571789,0.998867,1.131483,-0.134893,0.08188,yes
-46.8097,-24.16349,15.3924,14.3604,5.392616,7.521374,38.74673,3.899927,24.72353,28.69652,-3.462735,1.201565,21.62786,0.491913,-0.478024,-0.435807,-3.770369,-1.155168,-1.541785,-1.381809,4.72907,3.176851,4.502106,3.780392,-0.044055,-0.384061,0.55291,0.322089,0.447896,-0.527439,-1.057069,-0.871594,-0.864178,0.104502,-1.657097,-0.870729,1.557801,1.285026,0.010934,yes
-43.0014,-21.80731,12.64829,5.671889,-2.767107,3.817093,31.45646,7.190358,12.65254,25.63831,15.12677,6.641041,21.03041,-0.107223,-1.426363,-1.150068,-3.420902,-1.720855,-3.052184,-2.967569,1.963424,3.087353,3.104269,7.358788,4.695788,-0.45267,-0.147889,0.138932,0.366636,0.835415,-0.014769,-0.710279,-0.348894,-1.136065,-1.860228,-1.862704,-0.321331,0.783904,-0.022963,yes
-45.13895,-26.0181,10.7022,11.07017,-4.776692,-1.829544,22.24538,13.92599,20.4179,28.1054,24.82589,19.44705,20.52605,-1.169368,-1.371944,-0.455453,0.22379,-0.414661,0.246744,-1.622647,0.260099,-3.342307,-3.018469,5.509561,3.79895,-0.433791,-0.00055,0.394825,0.422629,0.77344,0.649508,0.36067,0.487461,-2.036475,-2.740823,-1.570921,-2.228485,-0.941527,0.036098,yes
-49.28311,-30.70012,8.778709,8.53283,-5.414878,1.836481,31.05039,3.433814,18.75175,17.88867,22.96649,20.41804,20.18824,-0.90479,-0.692449,0.482853,-0.307207,0.915496,-1.08141,-1.021704,-3.04935,-5.300258,-2.654899,-1.965117,0.01789,-0.337838,0.705974,0.948223,0.473007,0.349715,0.28811,-0.016111,0.467842,-0.409614,-1.023822,0.323478,-2.276605,-2.111224,0.055781,yes
-49.51569,-26.57681,15.04993,14.04888,4.643196,9.745399,30.83654,7.078694,4.962391,17.47899,20.16521,13.30782,19.88,0.887944,1.129142,0.860875,-1.460016,0.774196,-0.723821,0.082562,-2.946919,-6.33346,-0.472915,-2.700082,-2.412743,-0.260986,0.991535,0.640451,-0.229856,-0.110255,-0.121096,-0.675963,-0.080303,0.529088,1.977696,1.541036,-0.704173,-1.10196,0.037618,yes
