@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute laughornot {yes,no}

@data
-14.90994,-6.69564,-1.03833,-5.103063,-5.663376,-5.736678,2.763735,2.598657,-0.925015,-5.427942,-1.409633,-1.111082,27.10231,0.353203,1.583498,-1.29909,-0.377512,-0.727338,-1.022962,-3.882403,-4.843108,-2.416311,-0.600568,-1.712094,-0.446241,-0.002811,0.168457,-0.151572,-0.040162,0.036253,0.042588,0.036191,-0.173859,0.358943,0.278403,0.258583,0.695376,0.125605,-0.000859,yes
-14.75941,-2.042862,-4.172729,-7.585592,-6.83239,-8.183444,-5.072529,-10.12461,-2.280662,-0.374838,-6.573973,-0.183206,27.09807,0.770671,1.699787,-1.71255,-0.15329,-0.395588,-0.47328,-4.977884,-4.949067,-2.387117,-0.390399,-0.037835,0.137941,-0.004563,0.054921,-0.581373,0.251943,0.17075,0.30272,0.264008,0.406572,0.738451,-0.075426,-0.321081,0.310509,-0.07915,-0.001632,yes
-13.21918,-1.104537,-5.966581,-5.749358,-8.715561,-9.628106,-12.73015,-15.25525,-12.32875,-10.95733,-7.387932,-3.806227,27.09038,0.986753,0.767493,-1.293168,-0.308359,-0.680275,-1.116847,-4.203956,-2.995415,-1.038893,0.587264,0.927656,-0.110309,-0.00623,-0.219956,-0.905533,0.343745,0.102648,0.312532,0.20686,0.872185,0.721047,-0.502214,-0.814958,-0.26977,0.054221,-0.002456,yes
-11.90196,-0.992258,-7.136956,-5.546365,-6.115222,-6.157362,-14.37874,-13.21973,-7.158734,-4.615239,1.390341,0.926197,27.08546,0.311035,-0.915363,-0.042338,0.441663,0.762731,0.344018,-1.688766,-2.074702,-3.482152,-2.799889,-1.479424,-1.00996,-0.009263,-0.533362,-0.723446,0.409611,0.003393,-0.028344,0.084178,1.051961,0.565439,-0.792511,-1.252517,-0.836126,-0.130048,-0.001773,yes
-11.4049,-3.383478,-6.022057,-7.664469,-9.423333,-12.33395,-13.60294,-10.83086,-3.680447,-0.371424,-0.753512,-2.217328,27.07747,-0.516757,-1.636593,-0.415472,-0.161751,0.256163,-0.397313,-1.166035,-2.675056,-4.379865,-3.470613,-2.340151,0.398814,-0.012743,-0.73214,-0.14583,0.070477,-0.1776,-0.324764,-0.089169,0.741473,0.809964,-0.28496,-0.918397,-0.32172,0.689301,0.000334,yes
-14.11138,-5.480204,-4.35668,-4.419724,-2.664852,-5.110431,-13.07996,-22.71031,-24.01557,-19.66724,-17.2883,-6.027454,27.05821,-1.144386,-0.715401,-0.103343,-0.209629,-1.005524,-0.412159,-1.237037,-2.282052,-4.679184,-4.624043,-2.58456,-0.766859,-0.010169,-0.364225,0.432198,-0.180387,-0.711866,-0.799256,-0.700021,0.498553,1.619021,1.60452,0.93873,0.933172,1.009269,0.002184,yes
-14.69826,-7.043527,-9.434076,-7.121431,-9.159933,-12.13814,-19.20972,-23.88524,-25.79965,-20.7844,-9.749365,1.664667,27.04029,-1.946234,-0.061638,-0.910279,-0.870713,-1.419967,-1.184602,-0.722454,1.158079,-1.865178,-3.092642,-0.128375,3.214648,-0.004107,-0.018704,0.24176,-0.148455,-0.666041,-0.532478,-0.811696,0.298966,1.976849,2.906397,2.661463,1.649586,0.725814,0.000717,yes
-15.97721,-2.73924,-5.947659,-6.866029,-11.27454,-8.316067,-17.76054,-18.1028,-19.49505,-17.52896,-7.03453,-4.849094,27.05321,-0.795352,0.458151,-0.69687,-2.763185,-2.395484,-2.762443,0.582208,4.103834,3.283106,1.704776,2.080546,2.62847,-0.002662,0.21772,-0.446379,-0.185778,-0.200166,-0.113061,-0.84622,-0.039011,1.323876,2.976187,3.190363,1.837924,0.491704,-0.003917,yes
-20.20316,-5.06215,-9.777962,-10.79488,-12.21832,-16.65415,-14.87492,-7.344221,-15.2666,-16.90377,-6.522275,13.26673,27.05943,-0.784794,-1.014567,-0.860985,-2.215176,-1.711248,-3.280651,-0.580829,4.016246,6.170977,6.672291,3.575228,2.330219,-0.01291,0.190309,-0.709337,-0.104632,0.367769,0.169269,-0.126382,-0.317821,0.011939,1.675159,2.298113,1.555233,-0.833469,-0.00759,yes
-15.3357,-4.180137,-7.669085,-16.39892,-13.11308,-16.66464,-12.33632,-10.46165,-12.86657,-13.08367,-8.499118,1.313865,27.03533,-0.636505,-2.470834,-1.056878,-0.538226,-1.425188,-3.595234,-1.502902,2.908242,6.183677,6.445308,4.753257,2.133877,-0.025352,-0.285221,-0.459569,-0.128468,0.648392,0.008439,0.732601,-0.361487,-0.484992,-0.480493,0.014535,0.253943,-0.720519,-0.006079,yes
