@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute birdornot {yes,no}

@data
-42.15536,-16.39621,-4.302244,-12.53677,-20.08993,23.57755,-10.15534,-14.07162,18.802,-0.762172,-13.51224,14.54342,26.71212,-0.391438,-1.795942,0.980858,4.092961,0.862618,0.307069,1.802143,-1.147935,-4.439445,7.290271,-0.094759,-5.584033,-0.015863,0.180325,0.614547,-0.022842,-1.362585,-0.576558,-0.59761,-0.940758,0.634913,1.634338,-2.310405,0.810655,0.494405,-0.003551,yes
-44.33018,-25.6537,-1.510778,-4.791028,-26.9856,29.96667,-2.687328,-9.951175,8.717213,8.274924,-26.75178,5.80627,26.67241,-0.314305,-1.008177,0.631563,0.9086,-1.359698,0.006492,0.253189,0.730151,-0.731114,3.366596,1.263473,-4.065556,-0.018784,0.313107,0.992918,0.02621,-1.347679,-0.270647,-1.093036,-1.480712,0.835432,2.07583,-3.33375,0.566948,1.956707,-0.010518,yes
-43.02514,-20.74717,-0.793688,4.055162,-12.329,21.91833,-4.878627,-21.87151,1.647162,31.17064,-7.366266,-9.008174,26.65266,0.471621,0.882911,1.041297,-1.127784,-0.909016,-2.530692,-2.127167,1.087587,1.878079,-2.299915,3.279402,-3.871245,-0.032156,0.326127,0.927679,-0.70416,-1.241325,0.087754,-0.638913,-1.529784,0.547071,1.857285,-3.177851,-1.033685,3.309848,-0.020491,yes
-43.29199,-19.26161,-2.898709,-16.28974,-30.76888,24.43961,-11.52775,-6.520912,23.72384,0.104401,-10.26787,5.991432,26.64793,0.742567,1.82922,1.081687,-0.035061,0.395198,-3.739229,-3.63676,1.911462,2.780945,-4.583385,1.052901,3.34311,-0.060305,0.348706,0.925197,-0.811594,-0.271148,0.617114,-0.060098,-1.079359,-0.446147,-0.192284,-1.510396,-1.058976,2.349267,-0.020556,yes
-40.31635,-15.1777,1.598207,-12.42634,-22.74337,13.68761,-16.37096,-10.34881,20.68907,-8.176485,-5.357187,-4.905392,26.56358,0.710759,1.423754,-2.765002,-1.641835,0.423941,-1.014635,-3.901803,0.996762,3.090948,-4.623996,-5.157898,7.260873,-0.097558,0.128285,0.509151,-0.460059,0.21295,0.234901,1.177177,-0.077118,-0.589632,-0.703052,0.543941,-0.863461,0.660581,0.001018,yes
-41.97174,-19.29234,2.701709,3.274414,-19.80243,15.38588,-15.12496,-6.155214,13.10098,5.031558,-22.49182,20.47043,26.41542,1.309658,3.347388,-1.523258,-0.190114,1.059394,-1.052029,-4.256288,-1.455171,-2.29897,-3.023344,0.187243,2.114723,-0.088861,0.068918,0.443002,1.052873,0.561821,0.363655,1.573951,1.301279,-0.223697,-0.16674,1.488004,1.348097,-2.348049,0.034802,yes
-40.13147,-13.61303,-17.41891,-13.93609,-15.69252,21.37202,-22.58903,-17.07055,22.41333,5.587074,-27.04378,20.05669,26.28112,0.829499,2.669582,0.043474,0.014494,-0.066608,2.011594,-2.202992,-0.177255,0.902778,-0.360231,-0.605075,0.045854,-0.012788,-0.183053,-0.052994,2.493793,1.184659,1.02049,0.63424,2.011046,0.758887,-0.441361,0.67159,3.2071,-2.983253,0.056284,yes
-36.83614,-3.307001,-1.006442,-16.48543,-28.99734,15.33726,-29.70015,-10.4359,11.36686,-21.8941,1.511646,4.084004,26.34485,1.027784,3.421314,4.941813,1.945878,2.458748,2.61741,2.02023,1.379985,3.041332,0.724754,5.516974,-4.789626,0.071322,-0.622622,-1.303594,1.294441,1.213321,1.614041,-0.630547,2.91628,1.615594,-1.355548,0.887147,2.32734,-2.057884,0.040754,yes
-38.73665,-9.822453,3.669652,-2.473945,-18.47895,23.76989,-20.09833,-9.094743,26.07002,3.48519,-20.38429,3.517093,26.53492,-0.063569,1.121823,6.471429,3.213464,4.826715,0.321844,3.015168,3.37362,-1.786006,-3.140095,8.212735,-4.203218,0.103769,-0.583896,-1.577888,-0.663727,0.115047,0.262679,-2.640752,2.026047,0.815123,-3.825397,1.303342,1.215393,-1.80257,0.003595,yes
-37.53023,-4.081058,16.8665,7.272731,-6.115469,27.274,-6.269165,-3.24319,26.47929,9.70627,1.763308,4.792099,26.64513,-1.356919,-2.396704,1.734971,4.277005,6.682939,-3.35989,7.716035,4.847359,-7.732318,2.802322,7.415039,-6.050161,0.056628,-0.570765,-1.485542,-2.48878,-1.996082,-1.416135,-3.42253,0.329544,0.315631,-3.923026,2.100961,-1.866995,-1.017788,-0.025029,yes
