@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catornot {yes,no}

@data
-31.65819,-4.868207,-1.083379,4.888703,1.007405,7.654879,15.01156,4.174448,3.119494,3.16746,-8.985676,4.711023,26.36125,-0.497763,-1.080371,-1.530447,-2.343632,-1.840162,-1.924781,-0.66289,4.184766,5.111455,5.240515,5.577564,1.125871,-0.00021,0.27889,0.059701,-0.054465,0.359449,0.384954,0.036072,0.100667,-1.402766,-1.530592,-1.377472,-1.500699,0.257123,-0.000119,yes
-33.54909,-9.65717,-6.315284,-5.211171,-11.9841,-3.973266,16.03594,17.51789,13.82121,10.6624,4.066237,15.23585,26.36259,-0.304352,-0.703795,-1.133088,-1.202091,-1.240576,-2.75388,-1.769293,1.062382,2.72574,3.974619,4.074503,2.632862,-0.000824,0.467724,0.261046,0.198163,0.819347,0.978223,0.664701,0.397383,-2.282178,-2.625107,-2.19215,-2.457328,-0.231653,-0.000007,yes
-33.20155,-7.875583,-6.11966,-1.779522,-1.69765,3.845047,11.18492,18.42655,23.32591,25.62256,12.37619,5.07797,26.35952,0.799983,-0.970155,-2.001451,-1.117158,-0.215184,-1.329872,0.393646,-1.267875,-1.348646,-1.013898,-1.174398,1.65799,-0.000496,0.3996,0.581878,1.084046,1.129005,0.244812,0.078367,0.430621,-2.021581,-2.777394,-2.263529,-2.419732,-0.800315,0.000169,yes
-32.40826,-6.883494,-4.23068,2.212361,-3.842949,-4.209606,8.078415,2.360308,6.644987,11.813,0.705908,17.69186,26.35799,1.191984,0.169749,-0.304129,1.139865,2.238466,1.101269,0.795756,-4.499803,-4.784028,-2.593027,-3.333094,-0.298453,-0.000102,0.082156,0.6797,1.335182,0.882236,-0.072701,0.129224,-0.03375,-0.252285,-1.087471,-0.756077,-0.551112,-1.423782,0.000135,yes
-28.22869,-11.10582,-12.13293,-4.408853,-4.139091,1.12369,20.95856,5.413864,-0.035623,-2.477332,-13.1775,11.77297,26.36107,0.752067,1.392246,3.475302,2.130417,-2.355623,-3.46052,0.207688,-3.142046,-5.020632,-2.793307,-2.817297,-1.410046,0.000274,-0.407057,0.563968,1.299452,0.594991,-0.824927,-0.429225,-0.623762,0.262848,0.606599,0.486047,0.719866,-0.677711,-0.000213,yes
-30.0756,-7.193308,-4.82929,1.802821,0.42895,2.893759,15.12791,1.52522,1.58184,11.74722,0.177612,10.39608,26.36131,0.130388,1.513506,2.804446,1.585303,-0.533862,-1.042435,-1.845063,0.738045,-0.875622,1.083939,2.140394,-2.952032,-0.000534,-0.416037,-0.146475,-0.088682,-0.358192,-1.268886,-0.086372,-0.323087,0.419507,1.411431,-0.346908,0.470338,0.477564,-0.000241,yes
-30.60754,-0.759444,11.55615,9.077332,-15.61171,-17.00924,8.698617,3.133867,0.754322,11.68892,-1.446147,1.675628,26.35923,-0.704501,1.177808,2.941523,1.635076,-2.953654,-2.404146,-1.404754,-2.572557,-0.269853,-0.422145,-0.311814,-0.403775,-0.001344,-0.100703,-0.605565,-1.509459,-0.703075,0.199941,1.394585,0.020674,0.222077,1.28572,-0.594379,0.445912,1.097172,0.000106,yes
-30.56689,-4.489151,-2.052992,3.395781,-0.775949,-0.355321,4.983072,7.190533,1.871907,10.14957,5.542201,7.980369,26.35624,-0.159917,-0.455408,-0.480651,-0.403425,-3.80695,0.141221,-0.013456,-2.687011,-0.102264,-5.513148,-2.234147,1.586231,-0.0005,0.109854,-0.402565,-1.142474,-0.305687,0.707443,0.650358,0.027743,0.686934,0.261867,-0.069852,0.326033,0.643086,0.000426,yes
-31.50554,-6.568861,1.186533,2.970046,-18.30491,-9.272499,19.0072,-10.28158,-1.529922,-3.789235,-17.41887,10.96195,26.35689,0.393705,-0.651121,-2.429443,-0.390595,0.280625,2.920577,-0.604745,-0.319133,1.021288,-2.466659,1.599532,1.806684,0.000788,0.089469,-0.207417,-0.930413,-0.332344,2.172078,1.002614,-0.232961,2.298032,0.108918,1.435359,1.653903,-0.197703,0.000445,yes
-30.42619,-6.565641,-2.047733,2.83934,-17.2592,-0.268507,9.906335,-5.202111,2.212644,-8.079443,-3.006762,13.68407,26.35998,0.130554,0.415144,-0.222441,1.069705,1.386214,-0.453006,-2.106353,3.046003,-0.211855,1.756936,2.814884,-0.841831,0.000531,-0.16197,-0.175481,-0.18044,-0.453707,1.857073,0.288616,0.199891,1.934054,0.498083,2.301716,1.197531,-0.489374,-0.000019,yes
-28.70937,-2.976805,-0.593692,7.402577,-5.966962,-2.449761,3.213262,7.734523,5.690394,8.470135,10.82599,7.857196,26.3613,-0.402393,-0.294555,-1.839644,-0.763207,5.310155,2.90604,-1.523113,6.051094,0.329531,3.119606,5.433185,-0.178261,0.000363,-0.296161,-0.424259,0.24033,-0.646362,0.185643,-0.11912,1.049491,0.329493,1.37094,0.696714,-0.767517,-0.208251,-0.000442,yes
-31.31221,-4.209458,-2.275085,6.528038,-0.013852,-6.031721,2.348278,13.4125,-2.797527,12.80457,5.494191,5.323591,26.35668,-0.571717,-1.511096,-1.677748,-2.485652,2.963649,1.591567,1.445183,3.798146,2.73403,3.202301,1.836684,0.131834,-0.000381,0.030121,-0.36663,0.365441,-0.449459,-0.961348,-0.156655,1.186249,-1.482032,1.723482,-0.126626,-1.055626,0.737905,-0.000472,yes
