@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute footstepornot {yes,no}

@data
-10.24662,-3.330998,-4.581025,0.25566,4.704923,-0.84024,0.606707,4.932835,-2.242234,-0.759066,-6.982406,-3.442275,26.11957,-0.741075,-1.392683,-1.696123,-0.677024,-2.982141,-0.724648,0.389452,-1.55782,1.921481,-1.862309,2.162517,3.909329,0.010946,-0.157289,-0.185717,-0.20555,-0.32149,0.191752,-0.004465,-0.43718,-0.863783,-0.690382,0.072261,-1.019863,-0.93266,0.00402,yes
-10.03783,-3.164215,-6.450234,-3.484169,-3.493254,-9.506322,-6.190361,2.785578,-0.291888,-2.915097,-4.632184,5.379876,26.10056,-1.664247,-2.669926,-2.961399,-1.8192,-3.673859,-2.350666,-3.045506,-6.1612,0.647429,-3.328416,1.360332,3.309598,0.028242,0.110427,0.196856,0.544394,0.258186,0.859033,0.801092,0.021607,0.176672,-0.991621,0.811857,-1.325567,-1.898939,0.002487,yes
-14.05639,-10.3778,-12.12704,-1.259544,-6.106695,-0.13044,5.9525,-1.782637,6.389998,-8.992597,2.655068,11.6933,26.1838,-1.065936,-1.682648,-2.091234,-1.713387,-1.677521,0.066037,-0.078969,-3.575045,-0.893402,-0.767952,-2.535706,-0.454103,0.022401,0.540359,0.837852,1.213543,0.592655,1.464015,1.202398,0.861857,1.643868,-1.362473,1.409457,-1.134553,-2.364887,-0.002357,yes
-16.66297,-13.15722,-15.61501,-8.082741,-8.258564,-12.94847,-17.29372,-22.51543,-3.321207,-13.28438,-4.999482,5.537933,26.22866,-0.026508,-0.263422,1.223403,1.132087,0.660716,2.885469,0.731699,0.334154,-1.62918,1.649795,-2.116208,-3.403651,0.017656,0.637762,1.033614,1.211143,0.59815,1.400767,1.285291,1.749916,2.725203,-0.887056,0.678287,-0.731494,-1.52057,-0.006246,yes
-12.26373,-6.747734,-10.45481,-6.011989,-1.300028,1.211022,5.76354,-0.291889,-5.194586,0.585815,-19.47729,-5.791819,26.16752,1.141849,1.593324,2.279188,0.810607,2.170645,2.669276,2.810132,3.413841,-3.75258,2.695868,-1.771979,-4.558479,0.004452,0.137116,0.331711,0.037996,-0.286133,0.074391,-0.380665,-0.039503,0.490322,-0.35719,-1.31248,0.467724,0.228163,-0.002181,yes
-11.0667,-6.296359,-1.169332,4.552491,-2.593009,4.250291,-2.437388,3.710974,-2.645495,0.544674,-4.147048,-2.895821,26.19698,0.420671,0.86016,0.909105,-0.090445,1.405894,2.774171,4.259526,3.970372,-2.358262,-1.668892,-2.678999,-2.241062,0.005985,-0.211168,-0.129135,-1.061408,-1.144171,-0.76779,-1.458889,-0.591993,-0.538475,0.703386,-1.875341,0.681038,1.053569,-0.000305,yes
-11.14528,-5.841616,-7.953935,-3.524127,1.913752,4.61656,12.57499,2.173369,-12.71076,-2.427783,-6.631042,-6.882223,26.2219,-0.603947,-0.585885,-1.744106,-2.532785,-1.678155,-1.781637,-2.040399,-2.941546,-2.31481,-5.671007,0.084309,0.105417,0.017333,-0.334812,0.194052,-0.288108,-0.50727,-0.580051,-1.240772,-1.195961,-0.768635,1.958385,-0.544152,1.284032,1.131438,-0.001125,yes
-15.11884,-9.309486,-12.31993,-9.778898,-2.835987,-0.780385,0.59818,-3.896195,-11.35443,-20.12204,-24.8176,-5.122173,26.23139,-0.20945,0.18051,-2.071988,-2.917073,-1.253833,-2.183521,0.196998,0.819472,1.168864,-3.543474,0.360839,-0.467754,0.009693,-0.108001,0.807722,0.738814,0.464694,0.508148,-0.192999,-0.721979,-0.263516,1.157886,1.628296,1.062948,-0.101052,-0.003958,yes
-13.25739,-8.170596,-13.60004,-11.51022,-9.569315,-5.181824,-5.956238,-11.19603,-12.41417,-17.43586,-8.720468,-4.151558,26.23698,-0.217149,2.903411,2.329196,-0.312431,0.600256,-1.05574,-1.138408,1.146119,4.275785,0.912398,3.128262,0.212057,-0.003028,-0.221671,0.794167,0.948084,0.921435,1.40515,1.229856,0.339707,0.16338,0.174016,1.824054,-0.630993,-0.739188,-0.004958,yes
-11.0579,-4.229319,-8.706218,-6.039827,-3.120642,-1.768122,7.813216,14.49303,3.050528,-9.668656,-1.298142,-6.599925,26.23791,-0.31273,3.154121,2.566521,1.122845,2.807426,1.446226,0.198635,0.608963,0.135873,3.180884,1.113763,-2.799642,-0.003624,-0.756801,-0.106785,0.275534,0.480721,0.430021,1.157851,-0.515361,-1.790172,-0.957803,0.414336,-1.407327,0.034466,-0.000394,yes
-14.2615,6.135356,1.88519,-6.955817,5.05736,-0.168273,3.275435,-1.29065,1.465687,-3.092485,-2.749463,-5.083063,26.20351,-1.660662,1.898147,0.67706,0.054429,3.316967,2.552769,-0.342683,-2.019391,-0.928233,0.087084,-3.447116,-2.424579,-0.000801,-0.709461,-1.010967,-0.842732,-0.080522,-0.615362,0.429052,0.044729,-0.987482,-0.577011,-0.233738,-0.598812,0.789634,0.003579,yes
-16.18044,-0.691859,-7.229933,-6.441874,3.887808,3.943971,-3.02448,-5.804072,-17.615,-11.38931,-22.23429,-18.65463,26.23001,-3.2717,0.149217,0.131753,-0.696899,-0.462084,1.801477,-2.777668,-6.548636,-1.018144,-1.059137,-3.38811,1.022896,0.00661,-0.060669,-0.916146,-0.860424,-0.051899,-0.919276,-0.32432,1.167179,1.016865,1.397062,0.841123,1.845675,2.248873,0.001138,yes
-18.99943,-0.448593,-10.95288,-11.03705,3.511294,4.725973,-2.250803,-11.14444,-6.72257,-16.14011,-15.48797,-10.2471,26.23692,-2.284968,-0.648973,-0.667082,0.194831,-0.841797,0.911893,0.573389,-0.212491,1.967737,1.863721,2.385138,2.248955,0.009748,0.690107,-0.572598,-0.352948,0.442473,-0.723248,-0.528952,1.762159,2.744459,1.628902,1.872828,2.838753,1.688161,-0.001681,yes
-25.04743,-0.191259,-1.628418,-7.483706,-4.658029,4.792139,-3.312006,-13.32326,2.053938,-8.440527,-11.86944,1.096574,26.25425,-0.303923,-0.15305,-1.063528,0.793151,0.290428,0.645063,5.576493,4.789838,5.673198,6.498182,7.426011,6.107955,-0.003208,1.060933,-0.073695,0.119061,0.83715,-0.035583,-0.485875,1.199034,2.536166,0.834869,0.86826,1.408662,-0.165938,-0.003741,yes
-21.25285,2.640193,-4.250978,-5.460744,5.121292,3.967108,6.286143,1.406489,1.469905,4.751725,3.9938,-3.713889,26.24013,0.305982,-0.813709,-0.490041,1.521769,-0.675528,0.486217,4.291031,6.033666,3.870605,5.672566,5.339587,3.473698,-0.004296,0.620855,0.383841,0.855096,0.500404,-0.616002,-0.605798,-1.493829,-0.956151,-0.77028,-0.902909,-0.826552,-1.302217,-0.000782,yes
-16.57335,-3.001503,-15.89852,-5.264271,4.534947,7.548717,20.58951,11.86965,6.654754,10.65568,5.154881,8.618538,26.21236,0.737489,-0.136892,0.638537,2.825383,-0.723135,-0.41506,1.358683,3.009116,2.204767,1.377738,2.177972,-0.419163,-0.005073,0.025984,0.504084,1.142452,-0.120536,-0.943365,-1.384044,-3.617589,-2.879958,-2.410321,-1.991784,-2.139214,-2.3976,0.00539,yes
-21.70657,-3.112015,-6.268036,-4.537923,-4.462835,5.778767,7.253592,6.427436,10.33005,2.674612,2.697803,3.360407,26.23638,0.298602,1.262155,2.757364,1.680737,-3.415027,-1.587034,-4.786851,-4.102882,-0.149448,-0.090605,0.876396,-0.998571,0.006772,0.142886,0.392526,0.293611,-0.503836,-0.359478,-1.306299,-2.427399,-2.125205,-2.216622,-1.66955,-2.075561,-1.507007,0.00629,yes
-21.13313,2.000387,2.572796,6.181797,-3.481642,1.81101,2.997684,-0.788149,8.647703,-0.51328,-0.331577,-4.536389,26.23076,-0.170313,1.329439,3.02503,0.110986,-3.056646,-5.238534,-7.972513,-4.541678,-4.368383,-0.579151,-1.038461,-3.643909,0.018208,0.4651,-0.393952,-0.900627,-0.897972,0.281181,-0.290685,0.333179,0.113399,-1.246196,-0.958411,-1.263349,-0.331138,0.00499,yes
-17.47995,6.450021,0.30018,-2.780095,-7.945548,-1.099209,-8.852201,-12.77902,-0.273808,9.883181,11.11901,-2.129278,26.26479,1.474313,0.415755,-0.215235,0.35979,-1.306161,-3.633544,-3.180365,-0.816962,-3.925929,-1.696742,-3.43,-2.448964,0.015514,0.646505,-0.942638,-1.364793,-0.387599,1.528977,1.148499,3.328944,2.087711,0.31132,-0.713146,-0.457474,0.366636,0.000261,yes
