@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute whistleornot {yes,no}

@data
-13.38309,-2.750743,-0.958932,-7.075126,-18.95488,2.648294,-8.455333,24.70113,-20.26973,-0.407219,5.311018,-2.451869,26.40876,0.479136,-0.439714,-0.915756,0.660782,2.381217,-2.975829,-0.095596,-9.213052,4.390184,1.415196,0.257023,-0.836617,-0.002183,-0.325132,-0.496684,0.374271,0.845732,1.040468,2.400356,0.423983,1.581726,0.019379,-1.018124,-1.108166,-0.305271,-0.002134,yes
-8.355216,1.675179,-0.09278,0.768372,-3.300578,-4.682588,-9.038048,-10.43012,-12.99978,0.267608,10.95663,6.871507,26.40591,-0.277407,-1.247824,-0.327026,-0.184352,2.872295,-0.025438,2.503906,-7.402585,6.680963,1.814516,-1.423342,-1.901131,-0.006651,-0.383767,-0.454439,0.377481,1.07895,0.931806,2.905769,-0.232799,2.939174,-1.130939,-2.127362,-1.644744,-0.268559,-0.001797,yes
-13.50134,-7.162276,-5.970788,-7.692965,-14.87595,-8.565409,-8.641955,-3.798499,-1.953775,6.331348,3.773326,-11.29664,26.39927,-0.768251,-2.51908,0.661233,5.312011,7.338016,7.550756,0.724567,-2.209655,3.341687,-3.875086,-4.443625,-1.830713,-0.01062,-0.215045,0.285199,0.139368,0.557711,-0.103857,1.320694,-0.744775,2.922783,-1.712104,-1.855323,-0.405745,1.225404,-0.000393,yes
-14.711,-6.784098,-0.088136,-7.687967,-6.63287,8.127954,4.157506,1.938025,3.977114,5.296078,-1.036844,-7.53514,26.38025,-0.816004,-1.672224,0.183156,3.729915,4.561849,6.289722,-1.669675,1.981118,-0.740262,-6.576476,-5.616374,-1.682364,-0.006949,0.149989,0.882281,-0.313885,-0.874918,-2.079097,-2.118419,-0.928988,1.893614,-1.502581,-0.343445,1.024739,2.058686,0.001533,yes
-14.04645,-11.1165,2.34491,23.7131,19.40134,33.9968,-11.43027,7.468787,-12.04974,-22.29688,-10.91037,-4.402111,26.36849,-0.326789,1.198481,-0.474009,1.492205,1.017155,0.470061,-1.732682,0.70901,-0.459725,-3.665926,0.324814,5.181019,-0.003999,0.166281,0.746303,-0.83122,-3.273306,-3.900156,-4.874645,0.18717,0.038095,0.402058,3.373355,2.348763,1.65176,0.001555,yes
-12.16268,-4.708829,-3.33485,3.714915,2.370024,5.484917,-15.99226,-6.158172,-11.65311,-18.30065,-9.78339,-4.98758,26.38656,0.251806,1.304801,-1.32883,-2.649038,-4.36276,-7.077188,-0.91241,0.606152,1.068766,-0.00729,1.316133,4.886432,-0.002298,-0.084348,-0.277968,-0.739527,-2.395047,-2.422782,-3.306094,0.678131,-0.502643,1.752936,4.755921,2.143165,0.058656,-0.000434,yes
-16.40945,-2.207508,-6.717477,-5.933381,-14.29162,-4.893585,-7.230479,3.79465,3.562711,-0.199915,9.770669,13.33467,26.37613,-0.470751,-0.276077,-2.738874,-7.865044,-7.700463,-10.13902,1.281785,-1.331696,4.447463,9.707098,3.833939,3.143691,-0.005169,-0.209904,-1.105666,-0.64745,-0.895289,-0.061415,-0.189885,-0.019917,-0.378365,1.157942,2.754738,0.502678,-2.103555,-0.001706,yes
-12.27047,-4.714591,-2.201092,-6.109917,-11.60019,-7.812796,-2.504443,6.805855,1.51472,-5.788857,-4.7967,8.028629,26.36494,-1.165765,-2.324786,-2.382048,-3.566697,-3.193254,-4.93621,0.213745,0.488254,5.570827,10.51662,3.344887,-0.370419,-0.008534,-0.442521,-0.826159,-0.494695,0.45101,1.426285,1.968779,-0.652185,0.182577,0.680105,0.203622,0.556884,-1.103045,-0.002497,yes
-16.34632,-12.49401,-11.91634,-10.69971,-12.11587,-10.04942,-11.76525,-5.671705,3.603657,19.98271,5.765982,4.808236,26.35345,-0.667522,-2.515055,-3.18465,-2.525407,0.125329,-1.549851,-2.395344,-1.123865,3.078954,4.845808,1.823825,-2.708332,-0.009411,-0.378355,-0.115353,0.140485,1.09808,1.226713,1.958742,-0.354162,1.264363,0.17353,-2.542994,0.121445,0.181944,-0.00247,yes
-18.02307,-11.18951,-12.64566,-11.73541,-14.68412,-16.61822,-12.65615,1.016274,16.18055,24.19114,8.943392,-2.576457,26.35522,-1.862415,-1.706503,-3.579416,-3.063808,-1.144229,-1.527877,-2.334768,1.415122,5.153545,3.441463,5.10561,2.297218,-0.012663,-0.360065,0.268735,0.498291,0.296389,-0.311366,0.456148,0.472666,1.107739,-0.025727,-2.030231,0.083571,1.175316,-0.002523,yes
