@relation (null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric

@data

-1.163545e+01,-4.866833e+00,-9.586628e+00,-1.206370e+01,-9.827990e+00,-6.486863e+00,-8.647743e+00,-1.627196e+00,-3.006825e+00,-5.221367e+00,-6.674298e+00,-7.135090e+00,2.641229e+01,2.496386e-01,1.429777e-01,8.296944e-01,1.503921e+00,2.526842e-01,-2.926631e+00,-1.290625e+00,-9.310991e-01,2.491073e-01,2.390936e+00,1.283164e+00,2.157236e+00,-1.676750e-03,-8.071704e-02,-7.668648e-02,-1.505575e-01,-8.511217e-02,8.271363e-01,1.375712e+00,8.458245e-01,8.246946e-01,5.298549e-01,-5.168212e-01,4.636012e-01,-7.990619e-01,-6.863213e-04
-1.151998e+01,-4.429925e+00,-5.437540e+00,-1.088768e+01,-1.537822e+01,-1.756636e+01,-9.850806e+00,-3.992738e-01,2.291860e+00,-5.976936e+00,-8.444849e+00,9.593958e-01,2.641070e+01,-3.595758e-01,-4.852955e-01,9.489681e-01,1.439235e+00,2.355627e+00,-1.110239e+00,1.142973e+00,2.566931e+00,2.455018e+00,2.398856e+00,4.612428e+00,4.814022e-01,-2.182770e-03,-2.198607e-02,1.296492e-02,-4.238341e-01,-2.879911e-01,1.030226e+00,2.076760e+00,8.122762e-01,3.679179e-01,-3.598046e-01,-1.289091e+00,-3.502087e-01,-1.110228e+00,-2.785587e-03
-1.044499e+01,-4.370398e+00,-7.512700e+00,-5.132103e+00,-5.789452e+00,-1.558027e+01,-1.449934e+01,-6.896652e+00,-4.410631e+00,7.111098e+00,6.267992e-01,-3.961511e-01,2.640470e+01,1.506607e-01,7.368188e-02,1.727014e-02,1.110703e+00,3.336894e+00,3.043731e+00,1.721699e+00,1.443359e+00,1.795427e+00,-1.971303e-01,1.936538e+00,-1.000156e+00,-4.855347e-03,-2.362620e-01,1.640844e-01,-1.456261e-01,-5.463881e-01,4.712624e-01,1.376509e+00,6.221570e-01,1.620308e-01,-1.033899e+00,-1.302175e+00,-7.070171e-01,-3.239280e-01,-6.267605e-03
-1.402856e+01,-7.541528e+00,-5.878751e+00,-8.333322e+00,-6.912214e-02,-7.491355e+00,-7.084121e-03,1.384219e+01,9.970166e+00,6.066816e-01,1.273729e+01,-8.097548e+00,2.640517e+01,1.891973e-01,2.424501e-01,-8.832638e-01,2.605741e-01,3.861712e+00,4.471990e+00,1.264594e+00,-2.787389e-01,-2.323075e+00,-2.760488e+00,-7.945663e-01,-1.815209e+00,-1.401539e-02,-4.905379e-01,5.936593e-03,-1.423355e-01,-2.879846e-01,-5.329970e-01,-1.746993e-01,-4.071113e-01,-6.492141e-01,-9.594701e-01,-4.921595e-01,-1.435291e+00,4.909641e-01,-9.006004e-03
-9.627856e+00,-2.942622e+00,-9.279672e+00,-7.787362e+00,-7.980682e-01,3.694289e+00,-4.961109e+00,-1.531130e+00,2.131155e+00,-9.498827e+00,-7.582677e+00,-7.607398e+00,2.639078e+01,-1.206058e+00,5.995270e-01,1.017680e+00,-6.386895e-01,1.855954e+00,1.164799e+00,1.759349e+00,1.301890e+00,-2.531341e+00,-1.540269e+00,4.515758e-01,1.685902e+00,-2.709847e-02,-9.386910e-01,-5.975134e-01,1.594068e-01,7.217549e-01,-4.184101e-01,-1.113653e+00,-7.367144e-01,-1.179275e-01,8.335387e-01,8.284632e-01,-5.387334e-01,9.724924e-01,-7.749768e-03
-1.098256e+01,-3.931563e+00,-8.970373e+00,-8.257179e+00,1.434645e+00,-4.843692e+00,-8.296948e+00,-4.475729e+00,-1.259441e+01,-1.147441e+01,-8.312943e+00,-4.511027e+00,2.634758e+01,-2.133906e+00,-7.185351e-01,-2.629144e-01,8.740080e-01,4.311125e-01,-1.044270e+00,-9.114091e-01,-6.084049e-01,-1.789488e-01,6.096278e-01,-1.821547e+00,1.593194e+00,-3.609123e-02,-6.951700e-01,-7.018784e-01,3.397818e-01,1.292243e+00,-1.100889e-01,8.100326e-02,-6.696945e-01,2.541837e-01,2.295265e+00,2.140496e+00,-2.385476e-01,8.216468e-01,-2.222118e-03
-1.799828e+01,-3.177746e+00,-8.784891e-01,-8.363622e+00,2.738435e+00,-1.108010e+01,-1.557655e+00,8.771757e+00,-5.785049e+00,5.450298e+00,1.340980e+01,6.240098e+00,2.629800e+01,-3.381242e+00,-2.433393e+00,5.041292e-01,4.412761e+00,2.960143e+00,2.335973e-01,-8.738712e-01,1.018555e+00,4.891057e+00,2.260128e+00,-2.436378e-01,2.158105e+00,-3.256626e-02,5.155270e-01,-2.634036e-01,-7.064092e-02,1.616197e+00,1.788105e-01,9.266955e-01,-8.559316e-03,-6.158097e-01,1.321177e+00,1.023220e+00,-1.730256e-01,-4.286423e-01,4.627209e-03
-2.051287e+01,-1.101664e+01,-1.139391e+01,-3.675152e+00,3.181884e-01,-5.325508e+00,-6.265856e+00,5.648719e+00,1.303352e+01,-3.819742e+00,-6.866682e+00,-7.055329e+00,2.627110e+01,-2.199061e+00,-1.750482e+00,1.072420e+00,4.196063e+00,2.759172e+00,5.342607e+00,-7.672678e-01,1.133847e+00,5.442051e+00,6.041793e+00,-1.639697e+00,2.056923e+00,-2.239208e-02,1.630388e+00,9.653298e-01,4.395149e-01,2.665757e-01,-4.189033e-01,4.759264e-01,1.094840e+00,-4.650292e-01,-9.979889e-01,-9.270571e-02,1.043077e+00,-4.420360e-01,8.791179e-03
-2.176891e+01,-1.156705e+01,-5.547255e+00,1.198543e+01,1.456088e+01,5.103184e+00,-1.034601e+01,-1.500581e+00,1.377247e+01,-2.025525e+00,-9.523996e+00,4.455276e+00,2.626619e+01,1.404154e+00,-2.015173e-01,-3.192043e-03,5.781266e+00,1.585977e+00,2.604838e+00,1.644482e+00,-2.648284e+00,1.264043e+00,8.597490e-01,-5.044769e-01,-6.891744e-01,-1.081200e-02,1.889064e+00,1.380009e+00,-1.040457e-02,-1.922072e+00,-1.797964e+00,-1.002428e+00,1.165991e+00,-6.749070e-01,-2.463823e+00,-1.430699e+00,5.689830e-01,-9.697469e-01,9.181385e-03
