@relation iris-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R1-2

@attribute sepallength {'\'(-inf-5.02]\'','\'(5.02-5.74]\'','\'(5.74-6.46]\'','\'(6.46-7.18]\'','\'(7.18-inf)\''}
@attribute sepalwidth {'\'(-inf-2.48]\'','\'(2.48-2.96]\'','\'(2.96-3.44]\'','\'(3.44-3.92]\'','\'(3.92-inf)\''}
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.4,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.4,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.3,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.5,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(3.44-3.92]\'',1.4,0.2,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.7,0.4,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.4,0.3,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.5,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.48-2.96]\'',1.4,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.5,0.1,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.5,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.6,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.4,0.1,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.1,0.1,Iris-setosa
'\'(5.74-6.46]\'','\'(3.92-inf)\'',1.2,0.2,Iris-setosa
'\'(5.02-5.74]\'','\'(3.92-inf)\'',1.5,0.4,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.3,0.4,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.4,0.3,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.7,0.3,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.5,0.3,Iris-setosa
'\'(5.02-5.74]\'','\'(2.96-3.44]\'',1.7,0.2,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.5,0.4,Iris-setosa
'\'(-inf-5.02]\'','\'(3.44-3.92]\'',1,0.2,Iris-setosa
'\'(5.02-5.74]\'','\'(2.96-3.44]\'',1.7,0.5,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.9,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.6,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.6,0.4,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.5,0.2,Iris-setosa
'\'(5.02-5.74]\'','\'(2.96-3.44]\'',1.4,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.6,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.6,0.2,Iris-setosa
'\'(5.02-5.74]\'','\'(2.96-3.44]\'',1.5,0.4,Iris-setosa
'\'(5.02-5.74]\'','\'(3.92-inf)\'',1.5,0.1,Iris-setosa
'\'(5.02-5.74]\'','\'(3.92-inf)\'',1.4,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.5,0.1,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.2,0.2,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.3,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.5,0.1,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.3,0.2,Iris-setosa
'\'(5.02-5.74]\'','\'(2.96-3.44]\'',1.5,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(3.44-3.92]\'',1.3,0.3,Iris-setosa
'\'(-inf-5.02]\'','\'(-inf-2.48]\'',1.3,0.3,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.3,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(3.44-3.92]\'',1.6,0.6,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.9,0.4,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.4,0.3,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.6,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.4,0.2,Iris-setosa
'\'(5.02-5.74]\'','\'(3.44-3.92]\'',1.5,0.2,Iris-setosa
'\'(-inf-5.02]\'','\'(2.96-3.44]\'',1.4,0.2,Iris-setosa
'\'(6.46-7.18]\'','\'(2.96-3.44]\'',4.7,1.4,Iris-versicolor
'\'(5.74-6.46]\'','\'(2.96-3.44]\'',4.5,1.5,Iris-versicolor
'\'(6.46-7.18]\'','\'(2.96-3.44]\'',4.9,1.5,Iris-versicolor
'\'(5.02-5.74]\'','\'(-inf-2.48]\'',4,1.3,Iris-versicolor
'\'(6.46-7.18]\'','\'(2.48-2.96]\'',4.6,1.5,Iris-versicolor
'\'(5.02-5.74]\'','\'(2.48-2.96]\'',4.5,1.3,Iris-versicolor
'\'(5.74-6.46]\'','\'(2.96-3.44]\'',4.7,1.6,Iris-versicolor
'\'(-inf-5.02]\'','\'(-inf-2.48]\'',3.3,1,Iris-versicolor
'\'(6.46-7.18]\'','\'(2.48-2.96]\'',4.6,1.3,Iris-versicolor
'\'(5.02-5.74]\'','\'(2.48-2.96]\'',3.9,1.4,Iris-versicolor
'\'(-inf-5.02]\'','\'(-inf-2.48]\'',3.5,1,Iris-versicolor
'\'(5.74-6.46]\'','\'(2.96-3.44]\'',4.2,1.5,Iris-versicolor
'\'(5.74-6.46]\'','\'(-inf-2.48]\'',4,1,Iris-versicolor
