@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catordog {cat,dog}

@data
3.039165,-23.23817,-20.65711,-27.86526,-17.86328,-3.55675,-22.7851,2.574087,8.197692,-4.786389,-2.029043,-7.404559,21.39514,-2.546951,-5.153223,2.014632,-1.123285,-4.535804,-2.847368,-3.583837,2.727105,4.211473,0.146271,4.870929,5.969382,0.629685,-0.65025,0.513446,-0.44772,-0.19489,0.175602,0.006921,1.925072,-1.083697,-0.245193,-0.70908,-0.662854,-0.66972,0.076044,dog
-0.806645,-39.47563,-13.23969,-32.24264,-27.60853,-1.469193,-41.47591,2.678595,15.25353,5.790174,14.55393,13.29393,22.87404,-4.48264,-5.732885,1.37567,-2.453195,-6.19834,-5.217787,-0.551321,0.651416,3.172375,-2.019403,3.345767,4.844538,0.867103,-0.427231,1.663491,-1.145385,0.021336,1.696098,0.860773,2.931917,-1.232157,-0.759135,-0.173459,-1.343701,-1.509619,0.016053,dog
-7.772686,-40.88555,-14.29265,-31.29299,-35.66967,-18.83737,-31.35889,16.15736,25.72714,-9.343318,14.03411,12.09311,23.80412,-4.830356,-2.296164,0.095513,-1.432781,-2.826525,-1.627555,4.525266,-1.653534,3.505057,-2.31629,2.319242,3.183206,0.891197,0.163103,1.982957,-1.360679,0.75887,3.282606,1.611141,2.444808,-0.686694,-0.857114,2.165812,-0.532508,-1.758999,-0.087383,dog
-13.96811,-43.0789,-16.96099,-38.41737,-39.95178,-22.00537,-21.25482,-0.960469,15.29484,-12.60494,6.66821,7.069296,24.52617,-3.541403,1.735703,-2.752734,-0.861856,3.090048,0.84659,7.021194,-1.243363,0.769006,0.510257,-0.57173,-0.185626,0.579194,0.854796,1.392937,-1.124331,1.641649,3.804118,1.911952,0.671818,1.19904,-0.312123,3.83599,0.930303,-2.065987,-0.200637,dog
-14.53188,-32.91735,-18.3189,-31.9418,-25.82428,-1.426433,-10.26932,-3.874053,25.70232,-7.170282,13.51003,11.62379,25.02506,-2.202055,1.027268,-2.724559,1.875394,7.233031,2.176151,4.853946,0.241022,1.127591,9.710503,4.167139,-0.310529,0.336723,0.866466,-0.091098,-0.336672,1.620023,1.937139,0.297651,-1.17824,1.436815,-0.235009,3.091488,1.627162,-2.713318,-0.211506,dog
-15.13406,-34.78122,-24.99024,-36.22752,-17.08099,-5.94171,-16.91472,6.477484,19.11097,7.254942,11.95733,12.60046,25.15954,-1.522813,-0.429914,-2.835949,4.100964,7.792474,2.440119,2.643427,5.699336,2.800491,11.14715,7.073331,-3.738529,0.141153,0.325345,-0.812974,0.234925,0.953647,-0.56396,-0.328942,-1.334207,-0.175546,0.537237,0.940392,1.479321,-2.296456,-0.136374,dog
-18.19999,-39.89806,-23.90082,-23.01094,-10.93991,-15.98845,-9.259207,13.64349,29.45703,29.27925,32.22525,7.774882,25.17105,-1.50732,-1.668846,-1.546241,4.185927,4.507955,-0.936064,0.822947,2.05919,1.314269,7.822703,6.632519,-8.606932,0.052687,0.145804,-0.020335,0.378476,-0.642805,-1.90095,-0.050596,-0.777017,-2.453991,-0.092042,-2.121025,-0.509587,-0.711592,-0.067928,dog
-19.74812,-41.73812,-28.34977,-22.37798,-8.431595,-2.523775,-8.542745,18.77744,27.41994,24.90604,32.67725,-9.698894,25.15894,-2.262046,-0.98111,-2.167268,2.75111,1.632787,0.757988,2.365661,-3.030177,3.361853,6.156115,5.592187,-7.519704,0.039342,0.273393,0.63319,0.525204,-2.31744,-2.088587,0.203747,-0.995682,-3.722108,-1.15888,-2.959955,-1.410611,2.808712,-0.023789,dog
-19.76145,-37.78313,-24.37034,-17.93693,-7.609203,-7.815722,-10.34058,0.271919,28.11918,23.11768,36.31266,-20.2612,25.2888,-1.103419,1.20119,-1.166521,-0.663705,0.808123,2.764236,1.107744,-7.664176,0.3867,1.600894,2.359778,-1.977901,0.047989,0.882351,0.917132,0.518167,-3.008449,-1.620926,0.598428,-1.844805,-1.718753,-2.11653,-3.336193,-2.329927,5.699057,-0.027046,dog
-25.66356,-40.74423,-35.59182,-25.00897,-10.58241,-6.238132,-4.545733,-1.987613,36.58916,41.1163,37.87456,-10.98002,25.29737,-0.357799,1.301015,-0.399787,-5.061418,-0.800545,1.608704,-2.477384,-8.049523,-2.530126,-0.541718,2.156648,6.99052,0.024557,1.718618,0.618377,1.508024,-1.637539,-1.708359,-0.00886,-2.65517,0.635027,-3.368641,-3.869184,-3.361818,5.081525,-0.064949,dog
-20.75937,-34.38905,-26.1124,-25.01397,-5.823892,-0.310089,-5.71899,-14.29486,26.80592,29.17859,41.42549,-1.474059,25.34178,1.95231,1.775751,0.160852,-6.950053,-2.380007,1.630716,-5.979553,-4.0249,-6.322391,-5.509347,-3.299345,12.63324,-0.075148,1.607979,0.109974,1.115113,-0.00732,-1.492479,-0.966758,-1.300404,2.789332,-2.643406,-2.378935,-3.997378,1.204152,-0.115832,dog
-21.03816,-36.93008,-29.47767,-44.14655,-13.32698,1.76693,-23.24046,-14.18678,15.42594,19.167,40.90408,15.86014,25.25523,4.803179,1.823496,4.709166,-2.293409,-5.314942,1.280448,-7.366542,-1.674678,-10.12681,-9.634687,-8.387342,10.58235,-0.223835,1.066601,0.350395,-0.029659,1.576923,-0.164187,-1.012574,1.805121,3.564913,-1.336913,-0.427737,-3.655353,-3.907236,-0.128497,dog
-12.3126,-30.81145,-26.62315,-43.1184,-18.13695,-3.664675,-30.89098,-13.753,7.08884,6.545596,18.30117,29.48493,24.93413,4.355987,1.48982,1.854564,-2.084311,-4.397073,-1.905426,-2.949698,3.095063,-9.03199,-5.747295,-12.35511,2.246946,-0.406974,-0.293468,0.472289,-1.446802,1.354105,1.206505,-0.769558,3.432696,3.083652,0.705642,1.29089,-1.075313,-5.998297,-0.101762,dog
-5.871047,-33.41555,-11.79062,-27.4238,-31.00059,1.841403,-28.79245,-10.63193,-4.186339,4.259361,7.500006,26.45222,24.38203,3.773367,3.195958,-1.39494,0.390329,-0.612948,-1.686095,5.033293,6.215058,-7.859891,-2.561428,-11.59223,-7.352512,-0.452017,-1.303656,0.754559,-1.848324,0.008835,2.316416,-0.241169,2.437186,1.727876,2.791619,2.415689,1.942743,-4.049079,-0.08137,dog
-6.562992,-28.69722,-25.68311,-43.7969,-18.97245,-9.874457,-17.69149,-0.596972,-8.547889,7.895932,-3.648047,4.464625,23.74352,0.999877,3.450963,-4.021103,-1.521397,1.30152,-0.733802,4.984009,7.448491,-3.92764,-2.591528,-7.073465,-8.390813,-0.469868,-1.330597,0.368907,0.280287,0.530021,1.415173,0.016263,-0.048276,-0.713048,3.666252,2.142832,4.368617,-0.057058,-0.080938,dog
