@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catordog {cat,dog}

@data

-18.16482,-13.13203,-12.98918,-0.259671,1.35141,-0.910619,-21.19982,-11.07465,4.720291,-4.190933,-11.48469,-9.173404,11.82688,1.376419,-5.965163,-5.899617,-6.613696,-4.027676,0.912933,7.754458,4.094129,10.09817,15.15898,5.29847,-6.482703,1.151211,-1.067097,0.8223,1.071828,-0.474464,0.659076,-0.135224,-0.516119,0.176771,1.479703,-0.610415,-2.519519,-0.522646,-0.007623,cat
-10.80895,-29.53519,-35.3442,-17.44662,-11.39146,-0.392735,8.697196,7.562282,21.4823,37.80809,8.394001,-14.49921,14.87749,-0.764444,-5.671702,-5.327194,-8.053839,-3.279588,-0.25483,8.521791,4.181622,15.48853,18.54273,1.179891,-10.68108,1.328926,-2.019373,2.07961,2.694426,0.05566,1.840258,-0.571839,-2.321358,0.140109,-0.345023,-4.444058,-4.248689,0.72386,-0.198863,cat
-14.96066,-34.75627,-31.30976,-24.73467,-12.41553,3.395103,2.623964,0.077528,46.83015,50.60444,5.068316,-38.92402,16.05763,-2.888635,-2.000393,-0.82669,-8.265945,-1.106339,0.820694,4.790195,4.934236,14.80151,10.41502,-5.239839,-6.996744,1.024235,-2.127322,2.914761,3.19054,1.235392,2.865652,-0.649869,-3.27398,0.850751,-3.509326,-7.709998,-4.137412,2.490552,-0.355437,cat
-23.58912,-30.67842,-30.46486,-28.29136,-8.163058,-4.337628,9.497249,4.257368,61.10799,61.12504,-13.86173,-47.70352,16.35614,-6.587921,2.450501,5.036048,-5.509269,3.712948,-1.900144,-2.370203,4.374619,6.02139,-4.689338,-10.67582,-2.606383,0.220382,-1.093396,2.310019,1.991294,2.609357,3.093428,-0.368773,-3.248915,0.394929,-6.584299,-8.49008,-1.600346,3.540618,-0.382238,cat
-26.21791,-22.56238,-19.5623,-36.16703,-5.794486,5.165295,2.351131,15.24898,58.915,36.22571,-26.55601,-27.55497,16.20873,-6.348451,4.547538,4.87146,-1.709018,6.804316,-1.513755,-3.169444,8.251383,-2.714888,-11.77498,-9.460732,1.932708,-0.0717,0.280869,0.400964,-0.529843,3.537451,2.703403,-0.283145,-1.049896,-1.225558,-6.496892,-4.53377,1.806973,2.48166,-0.199151,cat
-38.11993,-23.37963,-16.03769,-39.27679,3.862755,-10.77855,-3.017404,21.84965,45.54683,21.55076,-29.17294,-33.21564,15.90385,-4.501514,2.604426,1.7802,1.714482,8.232226,-0.931469,-3.742966,4.497693,-8.67477,-12.81267,-4.71139,2.55728,-0.034297,1.542873,-1.167442,-2.38261,2.754036,0.914544,0.766389,1.248836,-3.366711,-3.955524,-0.239909,5.078833,2.659004,0.039998,cat
-39.43751,-15.66797,-14.16605,-27.78706,15.59314,-0.95321,-6.965929,32.5383,41.03629,11.51667,-34.57973,-36.50441,15.92527,-2.527496,-0.072537,-1.847979,5.809433,10.15104,-1.07937,0.227097,-1.255091,-10.33487,-8.192162,0.812811,2.829724,0.155822,1.399927,-1.181515,-2.139277,1.142554,-1.139828,0.51919,1.779949,-4.785583,-2.504624,1.497069,5.936195,2.638142,0.114574,cat
-39.48689,-21.10349,-24.26199,-23.90894,22.30426,-5.935719,-4.559055,18.10117,26.67349,9.416214,-33.40682,-30.4424,16.32638,-0.784033,-1.07667,-3.517284,4.501686,6.612309,1.71461,2.175705,-7.705697,-9.946238,-7.680292,9.581573,10.24013,0.306609,0.792235,0.350056,-0.976385,0.034657,-2.58285,-0.525267,1.799591,-2.908062,-1.388904,2.283711,4.548112,1.882553,0.079924,cat
-38.17191,-24.06313,-24.69004,-14.80378,35.73994,-2.652969,4.257443,10.84777,16.6773,1.332178,-20.37502,-14.79297,16.77658,-1.207558,0.480514,-3.176186,2.61015,1.915134,-0.240843,2.770964,-9.57484,-14.60228,-6.855823,13.07376,11.282,0.330718,0.133347,1.563917,-0.008456,-0.665654,-3.649643,-1.335415,0.611811,-0.20461,0.12769,2.129542,1.164946,-0.616011,0.01721,cat
-42.6729,-24.5654,-28.36211,-23.25999,26.8509,-1.355621,2.249436,-5.833562,7.99513,-11.75845,11.63256,7.129279,17.01124,-1.200306,4.078182,-2.437622,3.487408,-0.564074,-3.977067,3.983056,-5.882745,-13.48559,-2.062283,11.89869,7.74391,0.277877,-0.202225,1.627299,0.857315,-0.29286,-2.85936,-1.158109,-0.653635,2.071441,3.21549,2.109578,-3.024837,-4.079716,-0.017592,cat
-43.8823,-11.53445,-27.99691,-15.06078,22.89549,-4.447474,3.484644,-3.36853,-22.63591,-12.17511,8.269399,1.119735,17.23644,-1.652623,5.169623,-2.430092,2.988303,-4.508989,-4.910607,2.382479,-3.189616,-7.926748,-0.353456,5.478979,0.997778,0.256237,-0.094298,0.304187,1.31656,-0.602308,-1.333578,0.901767,-1.935425,2.30329,6.826907,1.128601,-4.314383,-4.152336,-0.025436,cat
-42.63323,-6.976922,-34.79666,-6.343401,25.90611,-24.9238,15.74263,-4.204404,-21.09785,5.858442,11.76445,0.320799,17.48584,-1.572624,4.71527,0.396246,2.848309,-4.472431,-1.741052,-0.898229,-0.541102,2.793447,-0.383587,-1.745216,-5.016343,0.255888,0.035229,-0.986275,1.529546,-1.16842,0.135133,2.665775,-2.662682,1.266937,6.403073,-0.193423,-3.524383,-2.436687,-0.02717,cat
-46.45486,-7.009255,-33.62323,-8.320565,13.66739,-15.42192,9.423243,-5.914892,-8.409945,-9.243552,6.953935,-6.399846,17.82047,-1.492888,1.682906,1.98968,-0.081838,-2.798578,3.149983,-4.465518,-0.72921,11.39274,-2.052163,-1.676194,-3.099558,0.214532,0.280349,-1.383262,0.808818,-0.8271,1.73036,1.93755,-1.473138,0.739655,2.50869,0.39725,-1.150815,0.232691,-0.018882,cat
-49.24974,-3.251647,-23.56772,-12.38856,9.102801,-4.573663,-5.211006,-7.265889,14.84938,-15.14217,3.564215,-14.19265,17.99866,-1.10403,0.890167,3.000221,-0.81962,-0.743615,5.321512,-5.906358,-0.778266,8.870032,-2.180044,-2.145634,-2.390857,0.162881,0.438119,-1.060675,-0.458751,0.03999,1.489841,-0.327539,0.959354,0.477441,-2.085989,1.367706,0.539171,1.672226,-0.000409,cat
-48.03849,-4.982559,-23.66299,-12.44739,17.30425,1.12737,-8.366127,-5.483835,16.35417,-11.93562,3.988544,-7.121333,18.05268,-0.485174,0.165864,0.312011,0.686767,2.278404,1.245858,-2.479146,0.627242,1.578411,2.531019,-0.074885,0.848491,0.208329,0.330567,-0.45941,-0.541002,1.004601,0.092697,-1.603154,2.244268,0.919325,-3.764182,1.640747,0.325794,0.877667,0.017439,cat
-47.36156,-3.539433,-24.77567,-8.378087,20.36961,-6.590886,-4.894477,-8.311263,10.87026,-3.695745,2.518972,-11.27274,18.18413,0.114114,0.170417,-1.058673,2.663954,0.438282,-2.426686,2.905355,1.167876,-2.729335,4.163353,0.149986,1.37076,0.256947,0.036748,-0.585595,-0.349282,0.735054,-1.09945,-1.042761,2.017387,0.773764,-2.24813,0.214445,-0.034897,0.427098,0.007655,cat
-49.82482,-6.036042,-31.4592,-6.891967,19.42601,-8.184015,-3.130753,-2.255998,1.471671,-2.311666,7.10213,-3.617343,18.76938,-0.449123,-0.254271,1.314116,3.19938,-2.926042,-0.991686,2.349967,2.894346,-1.62849,2.979874,-1.195035,-0.592032,0.254693,-0.185479,-0.812776,0.132992,-0.008872,-1.293308,0.298978,1.299603,0.11949,-0.084897,-1.516419,-0.722331,-0.321733,-0.041382,cat
